,mode,model_dir,load_file,save_file,roles,n_episodes,batch_size,dataset,use_categories,vocabulary_size,embedding_size,n_active_images,explore,gibbs_temperature,sender_type,n_informed_filters,loss,batch_mode,memory_sampling_distribution,shared_experience,shared_embedding,out_activation,stop_when_goal_is_passed,model_type,save_learning_curves,early_stopping,goal1_reached,goal2_reached,final_success_rate,symbol_histogram_median,symbol_histogram_std
0,train,models/local_only,False,200908-200135-fix-2-non-50-20,fixed,50000,30,data/imagenet-200x65-vgg19.train.emb.gz,True,50,50,2,none,0.0,informed,20,binary_crossentropy,last,linear,False,False,softmax,False,old,True,False,13050,16110,0.9683333333333334,0.0,19.6
1,train,models/local_only,False,200908-202048-fix-2-non-50-20,fixed,50000,30,data/imagenet-200x65-vgg19.train.emb.gz,True,50,50,2,none,0.0,informed,20,binary_crossentropy,last,linear,True,False,softmax,False,old,True,False,6810,10440,0.9716666666666665,0.0,19.678414570284875
2,train,models/local_only,False,200908-204003-fix-2-non-50-20,fixed,50000,30,data/imagenet-200x65-vgg19.train.emb.gz,True,50,50,2,none,0.0,informed,20,binary_crossentropy,last,linear,False,True,softmax,False,old,True,False,8100,11550,0.9466666666666665,0.0,19.6
3,train,models/local_only,False,200908-205913-fix-2-non-50-20,fixed,50000,30,data/imagenet-200x65-vgg19.train.emb.gz,True,50,50,2,none,0.0,informed,20,binary_crossentropy,last,linear,True,True,softmax,False,old,True,False,6630,10320,0.9633333333333333,0.0,19.621416870348583
4,train,models/local_only,False,200908-211838-fix-2-gib-50-20,fixed,50000,30,data/imagenet-200x65-vgg19.train.emb.gz,True,50,50,2,gibbs,0.1,informed,20,binary_crossentropy,last,linear,False,False,softmax,False,old,True,False,27330,35610,0.9616666666666666,0.0,11.384199576606166
5,train,models/local_only,False,200908-213823-fix-2-gib-50-20,fixed,50000,30,data/imagenet-200x65-vgg19.train.emb.gz,True,50,50,2,gibbs,0.1,informed,20,binary_crossentropy,last,linear,True,False,softmax,False,old,True,False,40590,,0.9066666666666668,0.0,14.066982618884548
6,train,models/local_only,False,200908-215807-fix-2-gib-50-20,fixed,50000,30,data/imagenet-200x65-vgg19.train.emb.gz,True,50,50,2,gibbs,0.1,informed,20,binary_crossentropy,last,linear,False,True,softmax,False,old,True,False,39210,,0.9316666666666669,0.0,12.13260071048248
7,train,models/local_only,False,200908-221745-fix-2-gib-50-20,fixed,50000,30,data/imagenet-200x65-vgg19.train.emb.gz,True,50,50,2,gibbs,0.1,informed,20,binary_crossentropy,last,linear,True,True,softmax,False,old,True,False,26100,38340,0.9549999999999998,0.0,8.126499861564017
8,train,models/local_only,False,200908-223737-swi-2-non-50-20,switch,50000,30,data/imagenet-200x65-vgg19.train.emb.gz,True,50,50,2,none,0.0,informed,20,binary_crossentropy,last,linear,False,False,softmax,False,old,True,False,18180,22590,0.945,0.0,13.714226190347015
9,train,models/local_only,False,200908-225725-swi-2-non-50-20,switch,50000,30,data/imagenet-200x65-vgg19.train.emb.gz,True,50,50,2,none,0.0,informed,20,binary_crossentropy,last,linear,True,False,softmax,False,old,True,False,14730,17250,0.9666666666666668,0.0,13.815932831336434
10,train,models/local_only,False,200908-231708-swi-2-non-50-20,switch,50000,30,data/imagenet-200x65-vgg19.train.emb.gz,True,50,50,2,none,0.0,informed,20,binary_crossentropy,last,linear,False,True,softmax,False,old,True,False,22980,25620,0.9566666666666667,0.0,13.935566009315876
11,train,models/local_only,False,200908-233646-swi-2-non-50-20,switch,50000,30,data/imagenet-200x65-vgg19.train.emb.gz,True,50,50,2,none,0.0,informed,20,binary_crossentropy,last,linear,True,True,softmax,False,old,True,False,44790,46530,0.9400000000000001,0.0,13.674794331177344
12,train,models/local_only,False,200908-235623-swi-2-gib-50-20,switch,50000,30,data/imagenet-200x65-vgg19.train.emb.gz,True,50,50,2,gibbs,0.1,informed,20,binary_crossentropy,last,linear,False,False,softmax,False,old,True,False,,,0.8233333333333335,0.0,10.44030650891055
13,train,models/local_only,False,200909-001623-swi-2-gib-50-20,switch,50000,30,data/imagenet-200x65-vgg19.train.emb.gz,True,50,50,2,gibbs,0.1,informed,20,binary_crossentropy,last,linear,True,False,softmax,False,old,True,False,49980,,0.9,0.0,7.863841300535
14,train,models/local_only,False,200909-003618-swi-2-gib-50-20,switch,50000,30,data/imagenet-200x65-vgg19.train.emb.gz,True,50,50,2,gibbs,0.1,informed,20,binary_crossentropy,last,linear,False,True,softmax,False,old,True,False,42600,,0.8916666666666668,0.0,7.868926229162401
15,train,models/local_only,False,200909-005614-swi-2-gib-50-20,switch,50000,30,data/imagenet-200x65-vgg19.train.emb.gz,True,50,50,2,gibbs,0.1,informed,20,binary_crossentropy,last,linear,True,True,softmax,False,old,True,False,,,0.5816666666666666,0.0,10.635788640246664
16,train,models/local_only,False,200909-011613-fix-4-non-50-20,fixed,50000,30,data/imagenet-200x65-vgg19.train.emb.gz,True,50,50,4,none,0.0,informed,20,binary_crossentropy,last,linear,False,False,softmax,False,old,True,False,12030,17550,0.7966666666666669,0.0,13.8953229541454
17,train,models/local_only,False,200909-013642-fix-4-non-50-20,fixed,50000,30,data/imagenet-200x65-vgg19.train.emb.gz,True,50,50,4,none,0.0,informed,20,binary_crossentropy,last,linear,True,False,softmax,False,old,True,False,16140,23250,0.795,0.0,13.674794331177344
18,train,models/local_only,False,200909-015921-fix-4-non-50-20,fixed,50000,30,data/imagenet-200x65-vgg19.train.emb.gz,True,50,50,4,none,0.0,informed,20,binary_crossentropy,last,linear,False,True,softmax,False,old,True,False,11730,23430,0.79,0.0,13.154466921924278
19,train,models/local_only,False,200909-022011-fix-4-non-50-20,fixed,50000,30,data/imagenet-200x65-vgg19.train.emb.gz,True,50,50,4,none,0.0,informed,20,binary_crossentropy,last,linear,True,True,softmax,False,old,True,False,20070,33390,0.7733333333333332,0.0,13.72443077143821
20,train,models/local_only,False,200909-024219-fix-4-gib-50-20,fixed,50000,30,data/imagenet-200x65-vgg19.train.emb.gz,True,50,50,4,gibbs,0.1,informed,20,binary_crossentropy,last,linear,False,False,softmax,False,old,True,False,,,0.5449999999999999,0.0,7.774316690230724
21,train,models/local_only,False,200909-030311-fix-4-gib-50-20,fixed,50000,30,data/imagenet-200x65-vgg19.train.emb.gz,True,50,50,4,gibbs,0.1,informed,20,binary_crossentropy,last,linear,True,False,softmax,False,old,True,False,,,0.2600000000000001,0.0,9.290855719469548
22,train,models/local_only,False,200909-032428-fix-4-gib-50-20,fixed,50000,30,data/imagenet-200x65-vgg19.train.emb.gz,True,50,50,4,gibbs,0.1,informed,20,binary_crossentropy,last,linear,False,True,softmax,False,old,True,False,,,0.5716666666666665,0.0,6.37808748764079
23,train,models/local_only,False,200909-034654-fix-4-gib-50-20,fixed,50000,30,data/imagenet-200x65-vgg19.train.emb.gz,True,50,50,4,gibbs,0.1,informed,20,binary_crossentropy,last,linear,True,True,softmax,False,old,True,False,35250,42780,0.7283333333333334,2.0,5.344155686354955
24,train,models/local_only,False,200909-040945-swi-4-non-50-20,switch,50000,30,data/imagenet-200x65-vgg19.train.emb.gz,True,50,50,4,none,0.0,informed,20,binary_crossentropy,last,linear,False,False,softmax,False,old,True,False,28680,46980,0.6499999999999999,0.0,12.297967311714567
25,train,models/local_only,False,200909-043516-swi-4-non-50-20,switch,50000,30,data/imagenet-200x65-vgg19.train.emb.gz,True,50,50,4,none,0.0,informed,20,binary_crossentropy,last,linear,True,False,softmax,False,old,True,False,24570,,0.6933333333333331,0.0,9.961927524329816
26,train,models/local_only,False,200909-045839-swi-4-non-50-20,switch,50000,30,data/imagenet-200x65-vgg19.train.emb.gz,True,50,50,4,none,0.0,informed,20,binary_crossentropy,last,linear,False,True,softmax,False,old,True,False,23610,34560,0.77,0.0,10.316976301223145
27,train,models/local_only,False,200909-052152-swi-4-non-50-20,switch,50000,30,data/imagenet-200x65-vgg19.train.emb.gz,True,50,50,4,none,0.0,informed,20,binary_crossentropy,last,linear,True,True,softmax,False,old,True,False,20580,26430,0.7633333333333334,0.0,8.928605714219886
28,train,models/local_only,False,200909-054458-swi-4-gib-50-20,switch,50000,30,data/imagenet-200x65-vgg19.train.emb.gz,True,50,50,4,gibbs,0.1,informed,20,binary_crossentropy,last,linear,False,False,softmax,False,old,True,False,,,0.41,1.0,6.029925372672534
29,train,models/local_only,False,200909-060822-swi-4-gib-50-20,switch,50000,30,data/imagenet-200x65-vgg19.train.emb.gz,True,50,50,4,gibbs,0.1,informed,20,binary_crossentropy,last,linear,True,False,softmax,False,old,True,False,,,0.37333333333333335,1.0,5.922837157984339
30,train,models/local_only,False,200909-063144-swi-4-gib-50-20,switch,50000,30,data/imagenet-200x65-vgg19.train.emb.gz,True,50,50,4,gibbs,0.1,informed,20,binary_crossentropy,last,linear,False,True,softmax,False,old,True,False,,,0.4083333333333334,2.0,4.422668877499196
31,train,models/local_only,False,200909-065512-swi-4-gib-50-20,switch,50000,30,data/imagenet-200x65-vgg19.train.emb.gz,True,50,50,4,gibbs,0.1,informed,20,binary_crossentropy,last,linear,True,True,softmax,False,old,True,False,,,0.3233333333333333,3.0,3.212475680841802
