mode,model_dir,load_file,save_file,roles,n_episodes,batch_size,dataset,use_categories,vocabulary_size,embedding_size,n_active_images,explore,gibbs_temperature,sender_type,n_informed_filters,loss,batch_mode,memory_sampling_distribution,shared_experience,shared_embedding,out_activation,stop_when_goal_is_passed,goal1_reached,goal2_reached,final_success_rate,symbol_histogram_median,symbol_histogram_mean,symbol_histogram_std
train,models/local_only,False,{TIMESTAMP}-agn,fixed,50000,30,data/imagenet-200x65-vgg19.train.emb.gz,True,10,50,2,False,0.0,agnostic,20,binary_crossentropy,sample,linear,False,False,softmax,True,18930,,0.95,0.0,20.0,40.42029193363155
train,models/local_only,False,{TIMESTAMP}-agn,fixed,50000,30,data/imagenet-200x65-vgg19.train.emb.gz,True,10,50,3,False,0.0,agnostic,20,binary_crossentropy,sample,linear,False,False,softmax,True,,,0.7066666666666666,0.0,20.0,34.63235481453723
train,models/local_only,False,{TIMESTAMP}-agn,fixed,50000,30,data/imagenet-200x65-vgg19.train.emb.gz,True,10,50,4,False,0.0,agnostic,20,binary_crossentropy,sample,linear,False,False,softmax,True,39030,,0.6783333333333333,0.0,20.0,30.867458593152758
train,models/local_only,False,{TIMESTAMP}-agn,fixed,50000,30,data/imagenet-200x65-vgg19.train.emb.gz,True,10,50,5,False,0.0,agnostic,20,binary_crossentropy,sample,linear,False,False,softmax,True,,,0.5366666666666666,0.0,20.0,26.01153590236455
train,models/local_only,False,{TIMESTAMP}-agn-sig,fixed,50000,30,data/imagenet-200x65-vgg19.train.emb.gz,True,10,50,2,False,0.0,agnostic,20,binary_crossentropy,sample,linear,False,False,sigmoid,True,22800,,0.9266666666666667,0.0,20.0,40.02249367543207
train,models/local_only,False,{TIMESTAMP}-agn-sig,fixed,50000,30,data/imagenet-200x65-vgg19.train.emb.gz,True,10,50,4,False,0.0,agnostic,20,binary_crossentropy,sample,linear,False,False,sigmoid,True,,,0.29499999999999993,0.0,20.0,40.15968127363563
train,models/local_only,False,{TIMESTAMP}-agn,fixed,50000,30,data/imagenet-200x65-vgg19.train.emb.gz,True,20,50,2,False,0.0,agnostic,20,binary_crossentropy,sample,linear,False,False,softmax,True,21030,,0.95,0.0,10.0,30.001666620372944
train,models/local_only,False,{TIMESTAMP}-agn,fixed,50000,30,data/imagenet-200x65-vgg19.train.emb.gz,True,50,50,2,False,0.0,agnostic,20,binary_crossentropy,sample,linear,False,False,softmax,True,,,0.5116666666666666,0.0,4.0,28.0
train,models/local_only,False,{TIMESTAMP}-agn-gibbs,fixed,50000,30,data/imagenet-200x65-vgg19.train.emb.gz,True,10,50,2,gibbs,0.1,agnostic,20,binary_crossentropy,sample,linear,False,False,softmax,True,48780,,0.8583333333333336,0.0,20.0,25.616400996236766
train,models/local_only,False,{TIMESTAMP}-agn-gibbs,fixed,50000,30,data/imagenet-200x65-vgg19.train.emb.gz,True,10,50,3,gibbs,0.1,agnostic,20,binary_crossentropy,sample,linear,False,False,softmax,True,,,0.3766666666666666,1.5,20.0,26.298288917722385
train,models/local_only,False,{TIMESTAMP}-agn-gibbs,fixed,50000,30,data/imagenet-200x65-vgg19.train.emb.gz,True,10,50,4,gibbs,0.1,agnostic,20,binary_crossentropy,sample,linear,False,False,softmax,True,,,0.27833333333333327,14.0,20.0,20.813457185196313
train,models/local_only,False,{TIMESTAMP}-agn-gibbs,fixed,50000,30,data/imagenet-200x65-vgg19.train.emb.gz,True,10,50,5,gibbs,0.1,agnostic,20,binary_crossentropy,sample,linear,False,False,softmax,True,,,0.195,2.5,20.0,28.583211855912904
train,models/local_only,False,200821-111843-agn-sig-gibbs,fixed,50000,30,data/imagenet-200x65-vgg19.train.emb.gz,True,10,50,2,gibbs,0.1,agnostic,20,binary_crossentropy,sample,linear,False,False,sigmoid,True,,,0.47833333333333333,23.5,20.0,15.472556349873152
train,models/local_only,False,200821-113603-agn-sig-gibbs,fixed,50000,30,data/imagenet-200x65-vgg19.train.emb.gz,True,10,50,4,gibbs,0.1,agnostic,20,binary_crossentropy,sample,linear,False,False,sigmoid,True,,,0.2583333333333333,5.0,20.0,23.54145280138845
train,models/local_only,False,200821-115406-agn-gibbs,fixed,50000,30,data/imagenet-200x65-vgg19.train.emb.gz,True,20,50,2,gibbs,0.1,agnostic,20,binary_crossentropy,sample,linear,False,False,softmax,True,,,0.8066666666666669,0.0,10.0,17.026450011673013
train,models/local_only,False,200821-121213-agn-gibbs,fixed,50000,30,data/imagenet-200x65-vgg19.train.emb.gz,True,50,50,2,gibbs,0.1,agnostic,20,binary_crossentropy,sample,linear,False,False,softmax,True,,,0.7950000000000002,0.0,4.0,12.57298691640137
train,models/local_only,False,200821-123224-info,fixed,50000,30,data/imagenet-200x65-vgg19.train.emb.gz,True,10,50,2,False,0.0,informed,20,binary_crossentropy,sample,linear,False,False,softmax,True,12630,,0.9516666666666668,0.0,20.0,40.3583944180142
train,models/local_only,False,200821-123711-info,fixed,50000,30,data/imagenet-200x65-vgg19.train.emb.gz,True,10,50,3,False,0.0,informed,20,binary_crossentropy,sample,linear,False,False,softmax,True,22440,,0.8150000000000002,0.0,20.0,28.715849282234366
train,models/local_only,False,200821-124515-info,fixed,50000,30,data/imagenet-200x65-vgg19.train.emb.gz,True,10,50,4,False,0.0,informed,20,binary_crossentropy,sample,linear,False,False,softmax,True,25110,,0.7233333333333334,0.0,20.0,25.34955620913313
train,models/local_only,False,200821-125434-info,fixed,50000,30,data/imagenet-200x65-vgg19.train.emb.gz,True,10,50,5,False,0.0,informed,20,binary_crossentropy,sample,linear,False,False,softmax,True,18810,,0.6666666666666666,8.5,20.0,21.91802910847597
train,models/local_only,False,200821-130151-info,fixed,50000,30,data/imagenet-200x65-vgg19.train.emb.gz,True,10,50,2,False,0.0,informed,20,binary_crossentropy,sample,linear,False,False,sigmoid,True,22950,,0.95,3.0,20.0,25.451915448547286
train,models/local_only,False,200821-131000-info-sig,fixed,50000,30,data/imagenet-200x65-vgg19.train.emb.gz,True,10,50,4,False,0.0,informed,20,binary_crossentropy,sample,linear,False,False,sigmoid,True,19050,,0.7266666666666667,12.5,20.0,20.109699152399074
train,models/local_only,False,200821-131701-info-sig,fixed,50000,30,data/imagenet-200x65-vgg19.train.emb.gz,True,20,50,2,False,0.0,informed,20,binary_crossentropy,sample,linear,False,False,softmax,True,11010,,0.95,0.0,10.0,30.026654825338102
train,models/local_only,False,200821-132102-info,fixed,50000,30,data/imagenet-200x65-vgg19.train.emb.gz,True,50,50,2,False,0.0,informed,20,binary_crossentropy,sample,linear,False,False,softmax,True,13410,,0.9516666666666665,0.0,4.0,19.64586470481765
train,models/local_only,False,200821-145709-info-gibbs,fixed,50000,30,data/imagenet-200x65-vgg19.train.emb.gz,True,10,50,2,gibbs,0.1,informed,20,binary_crossentropy,sample,linear,False,False,softmax,True,12030,21720,0.9550000000000001,19.0,20.0,12.489995996796797
train,models/local_only,False,200821-150522-info-gibbs,fixed,50000,30,data/imagenet-200x65-vgg19.train.emb.gz,True,10,50,3,gibbs,0.1,informed,20,binary_crossentropy,sample,linear,False,False,softmax,True,40380,47970,0.8216666666666669,18.5,20.0,6.6783231428256
train,models/local_only,False,200821-152315-info-gibbs,fixed,50000,30,data/imagenet-200x65-vgg19.train.emb.gz,True,10,50,4,gibbs,0.1,informed,20,binary_crossentropy,sample,linear,False,False,softmax,True,45750,,0.6333333333333331,18.5,20.0,4.774934554525329
train,models/local_only,False,200821-193152-info-gibbs,fixed,50000,30,data/imagenet-200x65-vgg19.train.emb.gz,True,10,50,5,gibbs,0.1,informed,20,binary_crossentropy,sample,linear,False,False,softmax,True,,,0.44833333333333336,19.0,20.0,8.390470785361213
train,models/local_only,False,200821-195221-info-gibbs,fixed,50000,30,data/imagenet-200x65-vgg19.train.emb.gz,True,10,50,2,gibbs,0.1,informed,20,binary_crossentropy,sample,linear,False,False,sigmoid,True,,,0.515,20.0,20.0,3.0659419433511785
train,models/local_only,False,200821-201036-info-gibbs,fixed,50000,30,data/imagenet-200x65-vgg19.train.emb.gz,True,10,50,4,gibbs,0.1,informed,20,binary_crossentropy,sample,linear,False,False,sigmoid,True,,,0.2816666666666667,19.0,20.0,5.079370039680118
train,models/local_only,False,200821-202936-info-sig-gibbs,fixed,50000,30,data/imagenet-200x65-vgg19.train.emb.gz,True,20,50,2,gibbs,0.1,informed,20,binary_crossentropy,sample,linear,False,False,softmax,True,15090,18720,0.9516666666666665,7.5,10.0,8.502940667792526
train,models/local_only,False,200821-203647-info-sig-gibbs,fixed,50000,30,data/imagenet-200x65-vgg19.train.emb.gz,True,50,50,2,gibbs,0.1,informed,20,binary_crossentropy,sample,linear,False,False,softmax,True,35820,42420,0.95,3.0,4.0,4.9396356140913875
